model,serial,chassis_serial,disk,cpu,mem,gpu
PowerEdgeFC430,FZ6NMD2,FXVQMD2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GTYKB2,FXVQMD2,"2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),1x DELL [5:0:0:0] (USB - 14.92 GB)",2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GTWKB2,FXVQMD2,"2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),1x DELL [5:0:0:0] (USB - 14.92 GB)",2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,FZ6PMD2,FXVQMD2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GTZKB2,FXVQMD2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GV0LB2,FXVQMD2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GTVKB2,FXVQMD2,"2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),1x DELL [11:0:0:0] (USB - 14.92 GB)",2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GX0LB2,5WXXKB2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GXVKB2,5WXXKB2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GXXKB2,5WXXKB2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GXTKB2,5WXXKB2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GXWKB2,5WXXKB2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GWZKB2,5WXXKB2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GXYKB2,5WXXKB2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GBG482,9GZK482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9G9K482,9GZK482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9G9L482,9GZK482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GBH482,9GZK482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GBD482,9GZK482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GBF482,9GZK482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GQ0LB2,5WWZKB2,"2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),1x DELL [5:0:0:0] (USB - 14.92 GB)",2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GPXKB2,5WWZKB2,"2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),1x Philips [10:0:0:0] (USB - 14.46 GB),1x DELL [11:0:0:0] (USB - 14.92 GB)",2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GPZKB2,5WWZKB2,"2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),1x DELL [10:0:0:0] (USB - 14.92 GB),1x Kingston [11:0:0:0] (USB - 7.33 GB)",2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GQXKB2,5WWZKB2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GQWKB2,5WWZKB2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GPYKB2,5WWZKB2,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,4GPWKB2,5WWZKB2,"2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),1x DELL [11:0:0:0] (USB - 14.92 GB)",2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DSG482,9JNF482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DRK482,9JNF482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DRG482,9JNF482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DSF482,9JNF482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DRF482,9JNF482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,B0JL482,B63K482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GFD482,B63K482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,B0KH482,B63K482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GFG482,B63K482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,B0KG482,B63K482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
ProLiantDL380Gen9,MXQ72700VP,MXQ72700VP,"2x VK000480GWEZC (SSD - 447.13 GB),2x VK000480GWCFE (SSD - 447.13 GB),2x MK0960GFDKT (SSD - 894.25 GB),2x VK0480GFDKH (SSD - 447.13 GB),4x VK0480GEPQP (SATA - 447.13 GB),1x MO001600KWJSN (NVMe - 1.46 TB),1x MO1600KEFHQ (y - 1.46 TB),3x MO1600KEFHQ (NVMe - 1.46 TB)",2x Corporation Intel(R) Xeon(R) CPU E5-2690 v4 @ 2.60GHz,512,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC830,J2C2MN2,J1Z4MN2,2x SAMSUNG MZILS1T6HEJH0D3 (SAS - 1.46 TB),4x Intel(R) Xeon(R) CPU E5-4667 v4 @ 2.20GHz,2048,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC830,J2C1MN2,J1Z4MN2,2x SAMSUNG MZILS1T6HEJH0D3 (SAS - 1.46 TB),4x Intel(R) Xeon(R) CPU E5-4667 v4 @ 2.20GHz,2048,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeR920,JNT0M02,JNT0M02,"2x INTEL SSDSC2BA80 (RAID - 745.21 GB),2x INTEL SSDSC2BA40 (RAID - 372.61 GB)",4x Intel(R) Xeon(R) CPU E7-4880 v2 @ 2.50GHz,2048,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeR440,2YLYQP2,2YLYQP2,"2x SSDSC2KG480G7R (SSD - 447.13 GB),4x Micron_9200_MTFDHAL6T4TCU (NVMe - 5.82 TB)",2x Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz,512,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,1HMY4R2,1HQV4R2,2x THNSF8200CAME (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,128,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,1HNT4R2,1HQV4R2,2x THNSF8200CAME (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,128.0,1x Matrox Graphics Inc. (VGA Controller)
ProLiantDL360Gen9,MXQ82004RJ,MXQ82004RJ,"6x HP EH000900JWCPN (SAS - 838.36 GB),2x VK000480GWCFE (SATA - 447.13 GB)",2x Corporation Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,512,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC830,2PDFCP2,2PJCCP2,4x SAMSUNG MZILS1T6HEJH0D3 (SAS - 1.46 TB),4x Intel(R) Xeon(R) CPU E5-4669 v4 @ 2.20GHz,2048,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC830,2PDGCP2,2PJCCP2,8x SAMSUNG MZILS1T6HEJH0D3 (SAS - 1.46 TB),4x Intel(R) Xeon(R) CPU E5-4669 v4 @ 2.20GHz,2048,1x Matrox Graphics Inc. (VGA Controller)
ProLiantDL380Gen10,2M282004Q2,2M282004Q2,"2x VK000960GWSXH (SSD - 894.25 GB),2x VK000480GWJPE (SSD - 447.13 GB),2x MK000960GWJPP (SSD - 894.25 GB)",2x Corporation Intel(R) Xeon(R) Gold 6142 CPU @ 2.60GHz,576.0,"1x nVidia Corporation,1x Matrox Graphics Inc. (VGA Controller)"
ProLiantDL360Gen9,MXQ82004RG,MXQ82004RG,"6x HP EH000900JWCPN (SAS - 838.36 GB),2x VK000480GWCFE (SSD - 447.13 GB)",2x Corporation Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,512,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeR440,2YNYQP2,2YNYQP2,"2x SSDSC2KG480G7R (RAID - 446.62 GB),4x Micron_9200_MTFDHAL6T4TCU (NVMe - 5.82 TB)",2x Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz,512,1x Matrox Graphics Inc. (VGA Controller)
ProLiantDL360Gen9,MXQ63601R8,MXQ63601R8,"2x HP MO001600JWFWQ (SAS - 1.46 TB),2x HP EG1200JEMDA (SAS - 1.09 TB)",2x Corporation Intel(R) Xeon(R) CPU E5-2690 v4 @ 2.60GHz,512,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC630,J9RMRP2,J9RFRP2,"2x THNSF8200CAME (SSD - 186.31 GB),2x THNSF8800CAME (SSD - 745.21 GB)",2x Intel(R) Xeon(R) CPU E5-2643 v4 @ 3.40GHz,128,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC630,HCT80Q2,J9RFRP2,"2x THNSF8200CAME (SSD - 186.31 GB),2x THNSF8800CAME (SSD - 745.21 GB)",2x Intel(R) Xeon(R) CPU E5-2643 v4 @ 3.40GHz,128,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC630,J9RXQP2,J9RFRP2,"2x THNSF8200CAME (SSD - 186.31 GB),2x THNSF8800CAME (SSD - 745.21 GB)",2x Intel(R) Xeon(R) CPU E5-2643 v4 @ 3.40GHz,128,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DSK482,BY2L482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DTJ482,BY2L482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DTH482,BY2L482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DTD482,BY2L482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DTF482,BY2L482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DSJ482,BY2L482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DTG482,BY2L482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9DSH482,BY2L482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GGL482,9H0J482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GGF482,9H0J482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GGH482,9H0J482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96.0,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GGG482,9H0J482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
PowerEdgeFC430,9GHD482,9H0J482,2x INTEL SSDSC1BG200G4R (SSD - 186.31 GB),2x Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,96,1x Matrox Graphics Inc. (VGA Controller)
